id,identifier,species_id,height,weight,base_experience,order,is_default
1,Bulbasaur,1,7,69,64,1,1
2,Ivysaur,2,10,130,142,2,1
3,Venusaur,3,20,1000,236,3,1
4,Charmander,4,6,85,62,5,1
5,Charmeleon,5,11,190,142,6,1
6,Charizard,6,17,905,240,7,1
7,Squirtle,7,5,90,63,10,1
8,Wartortle,8,10,225,142,11,1
9,Blastoise,9,16,855,239,12,1
10,Caterpie,10,3,29,39,14,1
11,Metapod,11,7,99,72,15,1
12,Butterfree,12,11,320,178,16,1
13,Weedle,13,3,32,39,17,1
14,Kakuna,14,6,100,72,18,1
15,Beedrill,15,10,295,178,19,1
16,Pidgey,16,3,18,50,21,1
17,Pidgeotto,17,11,300,122,22,1
18,Pidgeot,18,15,395,216,23,1
19,Rattata,19,3,35,51,25,1
20,Raticate,20,7,185,145,27,1
21,Spearow,21,3,20,52,30,1
22,Fearow,22,12,380,155,31,1
23,Ekans,23,20,69,58,32,1
24,Arbok,24,35,650,157,33,1
25,Pikachu,25,4,60,112,35,1
26,Raichu,26,8,300,218,49,1
27,Sandshrew,27,6,120,60,51,1
28,Sandslash,28,10,295,158,53,1
29,Nidoran-F,29,4,70,55,55,1
30,Nidorina,30,8,200,128,56,1
31,Nidoqueen,31,13,600,227,57,1
32,Nidoran-M,32,5,90,55,58,1
33,Nidorino,33,9,195,128,59,1
34,Nidoking,34,14,620,227,60,1
35,Clefairy,35,6,75,113,62,1
36,Clefable,36,13,400,217,63,1
37,Vulpix,37,6,99,60,64,1
38,Ninetales,38,11,199,177,66,1
39,Jigglypuff,39,5,55,95,69,1
40,Wigglytuff,40,10,120,196,70,1
41,Zubat,41,8,75,49,71,1
42,Golbat,42,16,550,159,72,1
43,Oddish,43,5,54,64,74,1
44,Gloom,44,8,86,138,75,1
45,Vileplume,45,12,186,221,76,1
46,Paras,46,3,54,57,78,1
47,Parasect,47,10,295,142,79,1
48,Venonat,48,10,300,61,80,1
49,Venomoth,49,15,125,158,81,1
50,Diglett,50,2,8,53,82,1
51,Dugtrio,51,7,333,149,84,1
52,Meowth,52,4,42,58,86,1
53,Persian,53,10,320,154,88,1
54,Psyduck,54,8,196,64,90,1
55,Golduck,55,17,766,175,91,1
56,Mankey,56,5,280,61,92,1
57,Primeape,57,10,320,159,93,1
58,Growlithe,58,7,190,70,94,1
59,Arcanine,59,19,1550,194,95,1
60,Poliwag,60,6,124,60,96,1
61,Poliwhirl,61,10,200,135,97,1
62,Poliwrath,62,13,540,230,98,1
63,Abra,63,9,195,62,100,1
64,Kadabra,64,13,565,140,101,1
65,Alakazam,65,15,480,225,102,1
66,Machop,66,8,195,61,104,1
67,Machoke,67,15,705,142,105,1
68,Machamp,68,16,1300,227,106,1
69,Bellsprout,69,7,40,60,107,1
70,Weepinbell,70,10,64,137,108,1
71,Victreebel,71,17,155,221,109,1
72,Tentacool,72,9,455,67,110,1
73,Tentacruel,73,16,550,180,111,1
74,Geodude,74,4,200,60,112,1
75,Graveler,75,10,1050,137,114,1
76,Golem,76,14,3000,223,116,1
77,Ponyta,77,10,300,82,118,1
78,Rapidash,78,17,950,175,119,1
79,Slowpoke,79,12,360,63,120,1
80,Slowbro,80,16,785,172,121,1
81,Magnemite,81,3,60,65,124,1
82,Magneton,82,10,600,163,125,1
83,Farfetchd,83,8,150,132,127,1
84,Doduo,84,14,392,62,128,1
85,Dodrio,85,18,852,165,129,1
86,Seel,86,11,900,65,130,1
87,Dewgong,87,17,1200,166,131,1
88,Grimer,88,9,300,65,132,1
89,Muk,89,12,300,175,134,1
90,Shellder,90,3,40,61,136,1
91,Cloyster,91,15,1325,184,137,1
92,Gastly,92,13,1,62,138,1
93,Haunter,93,16,1,142,139,1
94,Gengar,94,15,405,225,140,1
95,Onix,95,88,2100,77,142,1
96,Drowzee,96,10,324,66,145,1
97,Hypno,97,16,756,169,146,1
98,Krabby,98,4,65,65,147,1
99,Kingler,99,13,600,166,148,1
100,Voltorb,100,5,104,66,149,1
101,Electrode,101,12,666,172,150,1
102,Exeggcute,102,4,25,65,151,1
103,Exeggutor,103,20,1200,186,152,1
104,Cubone,104,4,65,64,154,1
105,Marowak,105,10,450,149,155,1
106,Hitmonlee,106,15,498,159,159,1
107,Hitmonchan,107,14,502,159,160,1
108,Lickitung,108,12,655,77,162,1
109,Koffing,109,6,10,68,164,1
110,Weezing,110,12,95,172,165,1
111,Rhyhorn,111,10,1150,69,166,1
112,Rhydon,112,19,1200,170,167,1
113,Chansey,113,11,346,395,170,1
114,Tangela,114,10,350,87,172,1
115,Kangaskhan,115,22,800,172,174,1
116,Horsea,116,4,80,59,176,1
117,Seadra,117,12,250,154,177,1
118,Goldeen,118,6,150,64,179,1
119,Seaking,119,13,390,158,180,1
120,Staryu,120,8,345,68,181,1
121,Starmie,121,11,800,182,182,1
122,Mr-Mime,122,13,545,161,184,1
123,Scyther,123,15,560,100,185,1
124,Jynx,124,14,406,159,189,1
125,Electabuzz,125,11,300,172,191,1
126,Magmar,126,13,445,173,194,1
127,Pinsir,127,15,550,175,196,1
128,Tauros,128,14,884,172,198,1
129,Magikarp,129,9,100,40,199,1
130,Gyarados,130,65,2350,189,200,1
131,Lapras,131,25,2200,187,202,1
132,Ditto,132,3,40,101,203,1
133,Eevee,133,3,65,65,204,1
134,Vaporeon,134,10,290,184,205,1
135,Jolteon,135,8,245,184,206,1
136,Flareon,136,9,250,184,207,1
137,Porygon,137,8,365,79,213,1
138,Omanyte,138,4,75,71,216,1
139,Omastar,139,10,350,173,217,1
140,Kabuto,140,5,115,71,218,1
141,Kabutops,141,13,405,173,219,1
142,Aerodactyl,142,18,590,180,220,1
143,Snorlax,143,21,4600,189,223,1
144,Articuno,144,17,554,261,224,1
145,Zapdos,145,16,526,261,225,1
146,Moltres,146,20,600,261,226,1
147,Dratini,147,18,33,60,227,1
148,Dragonair,148,40,165,147,228,1
149,Dragonite,149,22,2100,270,229,1
150,Mewtwo,150,20,1220,306,230,1
151,Mew,151,4,40,270,233,1
152,Chikorita,152,9,64,64,234,1
153,Bayleef,153,12,158,142,235,1
154,Meganium,154,18,1005,236,236,1
155,Cyndaquil,155,5,79,62,237,1
156,Quilava,156,9,190,142,238,1
157,Typhlosion,157,17,795,240,239,1
158,Totodile,158,6,95,63,240,1
159,Croconaw,159,11,250,142,241,1
160,Feraligatr,160,23,888,239,242,1
161,Sentret,161,8,60,43,243,1
162,Furret,162,18,325,145,244,1
163,Hoothoot,163,7,212,52,245,1
164,Noctowl,164,16,408,158,246,1
165,Ledyba,165,10,108,53,247,1
166,Ledian,166,14,356,137,248,1
167,Spinarak,167,5,85,50,249,1
168,Ariados,168,11,335,140,250,1
169,Crobat,169,18,750,241,73,1
170,Chinchou,170,5,120,66,251,1
171,Lanturn,171,12,225,161,252,1
172,Pichu,172,3,20,41,34,1
173,Cleffa,173,3,30,44,61,1
174,Igglybuff,174,3,10,42,68,1
175,Togepi,175,3,15,49,253,1
176,Togetic,176,6,32,142,254,1
177,Natu,177,2,20,64,256,1
178,Xatu,178,15,150,165,257,1
179,Mareep,179,6,78,56,258,1
180,Flaaffy,180,8,133,128,259,1
181,Ampharos,181,14,615,230,260,1
182,Bellossom,182,4,58,221,77,1
183,Marill,183,4,85,88,263,1
184,Azumarill,184,8,285,189,264,1
185,Sudowoodo,185,12,380,144,266,1
186,Politoed,186,11,339,225,99,1
187,Hoppip,187,4,5,50,267,1
188,Skiploom,188,6,10,119,268,1
189,Jumpluff,189,8,30,207,269,1
190,Aipom,190,8,115,72,270,1
191,Sunkern,191,3,18,36,272,1
192,Sunflora,192,8,85,149,273,1
193,Yanma,193,12,380,78,274,1
194,Wooper,194,4,85,42,276,1
195,Quagsire,195,14,750,151,277,1
196,Espeon,196,9,265,184,208,1
197,Umbreon,197,10,270,184,209,1
198,Murkrow,198,5,21,81,278,1
199,Slowking,199,20,795,172,123,1
200,Misdreavus,200,7,10,87,280,1
201,Unown,201,5,50,118,282,1
202,Wobbuffet,202,13,285,142,284,1
203,Girafarig,203,15,415,159,285,1
204,Pineco,204,6,72,58,286,1
205,Forretress,205,12,1258,163,287,1
206,Dunsparce,206,15,140,145,288,1
207,Gligar,207,11,648,86,289,1
208,Steelix,208,92,4000,179,143,1
209,Snubbull,209,6,78,60,291,1
210,Granbull,210,14,487,158,292,1
211,Qwilfish,211,5,39,88,293,1
212,Scizor,212,18,1180,175,186,1
213,Shuckle,213,6,205,177,294,1
214,Heracross,214,15,540,175,295,1
215,Sneasel,215,9,280,86,297,1
216,Teddiursa,216,6,88,66,299,1
217,Ursaring,217,18,1258,175,300,1
218,Slugma,218,7,350,50,301,1
219,Magcargo,219,8,550,151,302,1
220,Swinub,220,4,65,50,303,1
221,Piloswine,221,11,558,158,304,1
222,Corsola,222,6,50,144,306,1
223,Remoraid,223,6,120,60,307,1
224,Octillery,224,9,285,168,308,1
225,Delibird,225,9,160,116,309,1
226,Mantine,226,21,2200,170,311,1
227,Skarmory,227,17,505,163,312,1
228,Houndour,228,6,108,66,313,1
229,Houndoom,229,14,350,175,314,1
230,Kingdra,230,18,1520,243,178,1
231,Phanpy,231,5,335,66,316,1
232,Donphan,232,11,1200,175,317,1
233,Porygon2,233,6,325,180,214,1
234,Stantler,234,14,712,163,318,1
235,Smeargle,235,12,580,88,319,1
236,Tyrogue,236,7,210,42,158,1
237,Hitmontop,237,14,480,159,161,1
238,Smoochum,238,4,60,61,188,1
239,Elekid,239,6,235,72,190,1
240,Magby,240,7,214,73,193,1
241,Miltank,241,12,755,172,320,1
242,Blissey,242,15,468,608,171,1
243,Raikou,243,19,1780,261,321,1
244,Entei,244,21,1980,261,322,1
245,Suicune,245,20,1870,261,323,1
246,Larvitar,246,6,720,60,324,1
247,Pupitar,247,12,1520,144,325,1
248,Tyranitar,248,20,2020,270,326,1
249,Lugia,249,52,2160,306,328,1
250,Ho-Oh,250,38,1990,306,329,1
251,Celebi,251,6,50,270,330,1
252,Treecko,252,5,50,62,331,1
253,Grovyle,253,9,216,142,332,1
254,Sceptile,254,17,522,239,333,1
255,Torchic,255,4,25,62,335,1
256,Combusken,256,9,195,142,336,1
257,Blaziken,257,19,520,239,337,1
258,Mudkip,258,4,76,62,339,1
259,Marshtomp,259,7,280,142,340,1
260,Swampert,260,15,819,241,341,1
261,Poochyena,261,5,136,56,343,1
262,Mightyena,262,10,370,147,344,1
263,Zigzagoon,263,4,175,56,345,1
264,Linoone,264,5,325,147,346,1
265,Wurmple,265,3,36,56,347,1
266,Silcoon,266,6,100,72,348,1
267,Beautifly,267,10,284,178,349,1
268,Cascoon,268,7,115,72,350,1
269,Dustox,269,12,316,173,351,1
270,Lotad,270,5,26,44,352,1
271,Lombre,271,12,325,119,353,1
272,Ludicolo,272,15,550,216,354,1
273,Seedot,273,5,40,44,355,1
274,Nuzleaf,274,10,280,119,356,1
275,Shiftry,275,13,596,216,357,1
276,Taillow,276,3,23,54,358,1
277,Swellow,277,7,198,159,359,1
278,Wingull,278,6,95,54,360,1
279,Pelipper,279,12,280,154,361,1
280,Ralts,280,4,66,40,362,1
281,Kirlia,281,8,202,97,363,1
282,Gardevoir,282,16,484,233,364,1
283,Surskit,283,5,17,54,368,1
284,Masquerain,284,8,36,159,369,1
285,Shroomish,285,4,45,59,370,1
286,Breloom,286,12,392,161,371,1
287,Slakoth,287,8,240,56,372,1
288,Vigoroth,288,14,465,154,373,1
289,Slaking,289,20,1305,252,374,1
290,Nincada,290,5,55,53,375,1
291,Ninjask,291,8,120,160,376,1
292,Shedinja,292,8,12,83,377,1
